64,Kingston FURY Beast 32 GB,2 x 16GB,DDR5-5200,Kingston
65,Corsair Dominator Platinum RGB 64 GB,2 x 32GB,DDR5-5600,Corsair
66,Corsair Vengeance LPX 32 GB,4 x 8GB,DDR4-3600,Corsair
67,Patriot Viper Steel 16 GB,2 x 8GB,DDR4-3200,Patriot
68,G.Skill Ripjaws V 32 GB,2 x 16GB,DDR4-3600,G.Skill
69,G.Skill Trident Z Neo 16 GB,2 x 8GB,DDR4-3600,G.Skill
70,Corsair Vengeance LPX 32 GB,2 x 16GB,DDR4-3600,Corsair
71,Corsair Vengeance 64 GB,2 x 32GB,DDR5-5200,Corsair
72,Crucial Ballistix 32 GB,2 x 16GB,DDR4-3200,Crucial
73,G.Skill Trident Z RGB 32 GB,2 x 16GB,DDR4-3600,G.Skill
74,Kingston HyperX Fury 16 GB,2 x 8GB,DDR4-3200,Kingston
75,Corsair Dominator Platinum RGB 32 GB,4 x 8GB,DDR4-3600,Corsair
76,Corsair Vengeance RGB Pro 32 GB,4 x 8GB,DDR4-3600,Corsair
77,Corsair Vengeance LPX 16 GB,2 x 8GB,DDR4-3200,Corsair
78,G.Skill Trident Z Neo 64 GB,4 x 16GB,DDR4-3600,G.Skill
79,Corsair Vengeance 16 GB,2 x 8GB,DDR3-1600,Corsair
80,Kingston ValueRAM 1 GB,1 x 1GB,DDR2-667,Kingston
81,Corsair Dominator Platinum RGB 32 GB,2 x 16GB,DDR5-5200,Corsair
82,OLOy MD4U083216BJDA 16 GB,2 x 8GB,DDR4-3200,OLOy
83,Patriot Viper Steel 8 GB,2 x 4GB,DDR4-3200,Patriot
84,TEAMGROUP T-Force Dark Za 16 GB,2 x 8GB,DDR4-3600,TEAMGROUP
85,TEAMGROUP T-Create Classic 16 GB,2 x 8GB,DDR4-3200,TEAMGROUP
86,G.Skill Trident Z5 RGB 64 GB,2 x 32GB,DDR5-6000,G.Skill
87,Kingston Server Premier 64 GB,1 x 64GB,DDR4-3200,Kingston
88,Silicon Power XPOWER Turbine 32 GB,2 x 16GB,DDR4-3200,Silicon Power
89,G.Skill Aegis 16 GB,2 x 8GB,DDR4-3000,G.Skill
90,Corsair Vengeance RGB Pro 64 GB,2 x 32GB,DDR4-3200,Corsair
91,TEAMGROUP T-Force Delta RGB 32 GB,2 x 16GB,DDR4-3600,TEAMGROUP
92,OLOy ND4U1632161DJ0DA 32 GB,2 x 16GB,DDR4-3200,OLOy
93,ADATA XPG SPECTRIX D60G 16 GB,2 x 8GB,DDR4-3200,ADATA
94,TEAMGROUP T-Force Vulcan Z 16 GB,2 x 8GB,DDR4-3200,TEAMGROUP
95,Silicon Power XPOWER Gaming 16 GB,2 x 8GB,DDR4-3200,Silicon Power
96,Corsair Dominator Platinum RGB 32 GB,2 x 16GB,DDR5-6200,Corsair
97,G.Skill TridentZ RGB 64 GB,2 x 32GB,DDR4-4600,G.Skill
98,G.Skill Trident Z RGB 32 GB,4 x 8GB,DDR4-3200,G.Skill
99,TEAMGROUP TED48G2400C1601 8 GB,1 x 8GB,DDR4-2400,TEAMGROUP
