71,MSI MEG Z690 GODLIKE,LGA1700,MSI,DDR5-4800
72,Asus PRIME B550-PLUS,AM4,Asus,DDR4-2133
73,MSI B560M PRO-VDH WIFI,LGA1200,MSI,DDR4-2133
74,Gigabyte X570 I AORUS PRO WIFI,AM4,Gigabyte,DDR4-2133
75,Asus ROG STRIX Z690-F GAMING WIFI,LGA1700,Asus,DDR5-4800
76,Asus PRIME B560M-A AC,LGA1200,Asus,DDR4-2133
77,MSI PRO B660M-A DDR4,LGA1700,MSI,DDR4-2133
78,Gigabyte Z690 GAMING X DDR4,LGA1700,Gigabyte,DDR4-2133
79,Asus PRIME B660M-A D4,LGA1700,Asus,DDR4-2133
80,MSI B450 TOMAHAWK MAX II,AM4,MSI,DDR4-1866
81,MSI B450 Gaming Plus MAX,AM4,MSI,DDR4-1866
82,ASRock B550M Steel Legend,AM4,ASRock,DDR4-2133
83,MSI MPG Z690 FORCE WIFI,LGA1700,MSI,DDR5-4000
84,Asus PRIME H410M-E,LGA1200,Asus,DDR4-2133
85,Asus PRIME H610M-E D4,LGA1700,Asus,DDR4-2133
86,MSI A320M-A PRO,AM4,MSI,DDR4-1866
87,Gigabyte A520I AC,AM4,Gigabyte,DDR4-2133
88,Asus PRIME A320M-K,AM4,Asus,DDR4-2133
89,MSI B450M PRO-VDH MAX,AM4,MSI,DDR4-2666
90,Gigabyte B550 VISION D-P,AM4,Gigabyte,DDR4-2133
91,ASRock B660 Pro RS,LGA1700,ASRock,DDR4-2133
92,ASRock H610M-HVS,LGA1700,ASRock,DDR4-2133
93,Asus Prime B450M-A II,AM4,Asus,DDR4-2133
94,Gigabyte B550 AORUS ELITE,AM4,Gigabyte,DDR4-2133
95,ASRock B660M-ITX/ac,LGA1700,ASRock,DDR4-2133
